,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
0,1998,1,1,2,5,1998-01-02,NW,19386,NW,N297US,675,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,1640,1659.0,19.0,19.0,1.0,1.0,1600-1659,24.0,1723.0,1856.0,3.0,1836,1859.0,23.0,23.0,1.0,1.0,1800-1859,0.0,,0.0,176.0,180.0,153.0,1.0,991.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2009,2,5,28,4,2009-05-28,FL,20437,FL,N946AT,671,13342,1334202,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,13204,1320401,31454,MCO,"Orlando, FL",FL,12.0,Florida,33,1204,1202.0,-2.0,0.0,0.0,-1.0,1200-1259,10.0,1212.0,1533.0,8.0,1541,1541.0,0.0,0.0,0.0,0.0,1500-1559,0.0,,0.0,157.0,159.0,141.0,1.0,1066.0,5,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013,2,6,29,6,2013-06-29,MQ,20398,MQ,N665MQ,3297,11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1630,1644.0,14.0,14.0,0.0,0.0,1600-1659,9.0,1653.0,1936.0,6.0,1945,1942.0,-3.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,135.0,118.0,103.0,1.0,773.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2010,3,8,31,2,2010-08-31,DL,19790,DL,N6705Y,1806,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,11433,1143301,31295,DTW,"Detroit, MI",MI,26.0,Michigan,43,1305,1305.0,0.0,0.0,0.0,0.0,1300-1359,23.0,1328.0,2008.0,7.0,2035,2015.0,-20.0,0.0,0.0,-2.0,2000-2059,0.0,,0.0,270.0,250.0,220.0,1.0,1979.0,8,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2006,1,1,15,7,2006-01-15,US,20355,US,N504AU,465,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,11057,1105702,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,1820,1911.0,51.0,51.0,1.0,3.0,1800-1859,19.0,1930.0,2050.0,8.0,2026,2058.0,32.0,32.0,1.0,2.0,2000-2059,0.0,,0.0,126.0,107.0,80.0,1.0,529.0,3,0.0,0.0,0.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1995,4,11,29,3,1995-11-29,DL,19790,DL,N925DL,1198,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14814,1481401,30476,SHV,"Shreveport, LA",LA,22.0,Louisiana,72,639,639.0,0.0,0.0,0.0,0.0,0600-0659,29.0,708.0,736.0,5.0,730,741.0,11.0,11.0,0.0,0.0,0700-0759,0.0,,0.0,51.0,62.0,28.0,1.0,190.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,3,8,7,1,2006-08-07,CO,19704,CO,N27724,1431,10721,1072101,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11042,1104201,30647,CLE,"Cleveland, OH",OH,39.0,Ohio,44,1755,1751.0,-4.0,0.0,0.0,-1.0,1700-1759,33.0,1824.0,1958.0,4.0,2000,2002.0,2.0,2.0,0.0,0.0,2000-2059,0.0,,0.0,125.0,131.0,94.0,1.0,563.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019,2,6,11,2,2019-06-11,9E,20363,9E,N927XJ,3459,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10868,1086803,30868,CAE,"Columbia, SC",SC,45.0,South Carolina,37,1950,2331.0,221.0,221.0,1.0,12.0,1900-1959,19.0,2350.0,25.0,6.0,2057,31.0,214.0,214.0,1.0,12.0,2000-2059,0.0,,0.0,67.0,60.0,35.0,1.0,192.0,1,0.0,0.0,0.0,0.0,214.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,3,8,3,7,2008-08-03,YV,20378,YV,N522LR,7233,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11042,1104201,30647,CLE,"Cleveland, OH",OH,39.0,Ohio,44,1550,1552.0,2.0,2.0,0.0,0.0,1500-1559,26.0,1618.0,1817.0,3.0,1810,1820.0,10.0,10.0,0.0,0.0,1800-1859,0.0,,0.0,80.0,88.0,59.0,1.0,316.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2018,1,2,8,4,2018-02-08,WN,19393,WN,N8688J,5932,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,11259,1125903,30194,DAL,"Dallas, TX",TX,48.0,Texas,74,2030,2046.0,16.0,16.0,1.0,1.0,2000-2059,34.0,2120.0,2314.0,5.0,2250,2319.0,29.0,29.0,1.0,1.0,2200-2259,0.0,,0.0,140.0,153.0,114.0,1.0,793.0,4,0.0,0.0,13.0,0.0,16.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
